,Job Title,Salary Estimate,Location
80,Data Analyst,$51K-$88K (Glassdoor est.),"New York, NY"
81,Data Analyst,$51K-$88K (Glassdoor est.),"New York, NY"
82,"Healthcare Data Analyst, Qsight",$51K-$88K (Glassdoor est.),"New York, NY"
83,BA/Data Analyst,$51K-$88K (Glassdoor est.),"New York, NY"
84,Data Analyst Python,$51K-$88K (Glassdoor est.),"New York, NY"
85,"Data Analyst, Bitcoin Trading Firm",$51K-$88K (Glassdoor est.),"New York, NY"
86,Data Analyst-BA,$51K-$88K (Glassdoor est.),"New York, NY"
87,Data Analytics Solutions Analyst,$51K-$88K (Glassdoor est.),"New York, NY"
88,Quantitative Data Analyst,$51K-$88K (Glassdoor est.),"New York, NY"
89,Data Analyst,$51K-$88K (Glassdoor est.),"New York, NY"
90,Data Analyst,$51K-$87K (Glassdoor est.),"New York, NY"
91,"Descriptive Analytics Data Analyst, IB",$51K-$87K (Glassdoor est.),"New York, NY"
92,Data Analyst,$51K-$87K (Glassdoor est.),"New York, NY"
93,Data Analyst,$51K-$87K (Glassdoor est.),"New York, NY"
94,Data Analyst,$51K-$87K (Glassdoor est.),"Jersey City, NJ"
95,Data Analyst,$51K-$87K (Glassdoor est.),"New York, NY"
96,Data Analyst,$51K-$87K (Glassdoor est.),"New York, NY"
97,Business Data Analyst,$51K-$87K (Glassdoor est.),"New York, NY"
98,Data Analyst,$51K-$87K (Glassdoor est.),"Brooklyn, NY"
99,Healthcare Data Analyst,$51K-$87K (Glassdoor est.),"New York, NY"
100,Supply Chain Data Analyst,$51K-$87K (Glassdoor est.),"New York, NY"
101,Data Analyst - IBM Tool Set,$51K-$87K (Glassdoor est.),"New York, NY"
102,Analyst-Data Integrity,$51K-$87K (Glassdoor est.),"New York, NY"
103,"Reference Data Operations Analyst - Index Instrument, Associate",$51K-$87K (Glassdoor est.),"New York, NY"
104,Data Analyst,$51K-$87K (Glassdoor est.),"Long Island City, NY"
105,Data & Service Health Analyst,$51K-$87K (Glassdoor est.),"New York, NY"
106,Data/Systems Analyst,$51K-$87K (Glassdoor est.),"New York, NY"
107,Data Analyst,$51K-$87K (Glassdoor est.),"New York, NY"
108,Data Analyst,$51K-$87K (Glassdoor est.),"Brooklyn, NY"
109,Data Analyst,$51K-$87K (Glassdoor est.),"Jersey City, NJ"
110,Data Analyst Intern,$51K-$87K (Glassdoor est.),"Jersey City, NJ"
111,"Data Analytics Analyst or Associate, Cowen Sustainable Investments",$51K-$87K (Glassdoor est.),"New York, NY"
112,Data Reporting Analyst,$51K-$87K (Glassdoor est.),"New York, NY"
113,Data Analyst,$51K-$87K (Glassdoor est.),"New York, NY"
114,Data Analyst,$51K-$87K (Glassdoor est.),"New York, NY"
115,Data Analyst,$51K-$87K (Glassdoor est.),"Jersey City, NJ"
116,ERP Data Analyst,$51K-$87K (Glassdoor est.),"New York, NY"
117,Data Analyst,$51K-$87K (Glassdoor est.),"Florham Park, NJ"
118,Healthcare Data/Reporting Analyst,$51K-$87K (Glassdoor est.),"New York, NY"
119,PBM Data Analyst,$51K-$87K (Glassdoor est.),"New York, NY"
120,Data Analyst (Temporary Assignment),$59K-$85K (Glassdoor est.),"New York, NY"
121,Data Analyst,$59K-$85K (Glassdoor est.),"New York, NY"
122,Market Data Analyst,$59K-$85K (Glassdoor est.),"New York, NY"
123,Data Analyst,$59K-$85K (Glassdoor est.),"Jersey City, NJ"
124,Junior Data Analyst,$59K-$85K (Glassdoor est.),"New York, NY"
125,Microsoft Dynamics CRM Data Analyst,$59K-$85K (Glassdoor est.),"New York, NY"
126,Practice Analyst Data,$59K-$85K (Glassdoor est.),"Manhasset, NY"
127,Buyside - Data Scientist/Research Analyst,$59K-$85K (Glassdoor est.),"New York, NY"
128,Data Analyst - Healthcare Provider Networks and Formularies,$59K-$85K (Glassdoor est.),"New York, NY"
129,Electronic Trading Data Analyst,$59K-$85K (Glassdoor est.),"New York, NY"
130,"Data Analyst, Center for Developing Brain",$59K-$85K (Glassdoor est.),"New York, NY"
131,Data Processing & Performance Analyst,$59K-$85K (Glassdoor est.),"New York, NY"
132,Business Analyst - Data Analyst,$59K-$85K (Glassdoor est.),"Newark, NJ"
133,Data Analyst with Rochade,$59K-$85K (Glassdoor est.),"New York, NY"
134,Advertising Data Analyst,$59K-$85K (Glassdoor est.),"New York, NY"
135,Product Analyst - Data,$59K-$85K (Glassdoor est.),"Jersey City, NJ"
136,Senior Data Analyst,$59K-$85K (Glassdoor est.),"New York, NY"
137,Data Analyst,$59K-$85K (Glassdoor est.),"Brooklyn, NY"
138,Market Research Data Analyst - Physician Technology,$59K-$85K (Glassdoor est.),"New York, NY"
139,Data Analyst,$59K-$85K (Glassdoor est.),"New York, NY"
140,Look ML Data Analyst,$59K-$85K (Glassdoor est.),"New York, NY"
141,Data Collection Analyst,$59K-$85K (Glassdoor est.),"New York, NY"
142,Data Analyst,$59K-$85K (Glassdoor est.),"New York, NY"
143,DATA ENTRY/ BILLING ANALYST,$59K-$85K (Glassdoor est.),"Queens Village, NY"
144,Student Persistence Initiative Data Analyst/Scientist,$59K-$85K (Glassdoor est.),"New York, NY"
145,Data Quality Analyst,$59K-$85K (Glassdoor est.),"New York, NY"
146,Data Governance Analyst,$59K-$85K (Glassdoor est.),"New York, NY"
147,Sr. Business Intelligence Engineer / Data Analyst,$59K-$85K (Glassdoor est.),"New York, NY"
148,Data Analyst,$59K-$85K (Glassdoor est.),"Brooklyn, NY"
149,Data Analyst,$59K-$85K (Glassdoor est.),"New York, NY"
150,Data Analyst,$43K-$76K (Glassdoor est.),"New York, NY"
151,Healthcare Data/Reporting Analyst,$43K-$76K (Glassdoor est.),"New York, NY"
152,Data Analyst I - Geriatrics and Palliative Care,$43K-$76K (Glassdoor est.),"New York, NY"
153,Data Analyst,$43K-$76K (Glassdoor est.),"New York, NY"
154,Data Analyst/Rochade,$43K-$76K (Glassdoor est.),"New York, NY"
155,"Data Analyst, Revenue Analytics",$43K-$76K (Glassdoor est.),"New York, NY"
156,Data Analyst,$43K-$76K (Glassdoor est.),"New York, NY"
157,Data Analyst,$43K-$76K (Glassdoor est.),"New York, NY"
158,"Data Analyst II, Division of Gastroenterology (Research)",$43K-$76K (Glassdoor est.),"New York, NY"
159,"Data Analyst, Student Success Program",$43K-$76K (Glassdoor est.),"New York, NY"
160,Big Data QA Analyst with Jupyter notebook,$43K-$76K (Glassdoor est.),"Newark, NJ"
161,"Analyst, Data Centers Industry",$43K-$76K (Glassdoor est.),"New York, NY"
162,Data Analyst,$43K-$76K (Glassdoor est.),"New York, NY"
163,Financial - Data Analyst,$43K-$76K (Glassdoor est.),"New York, NY"
164,Data Analyst with Data Scanning and Profiling,$43K-$76K (Glassdoor est.),"New York, NY"
165,Business Analyst - Data Governance,$43K-$76K (Glassdoor est.),"New York, NY"
166,Senior Data Analyst - Health Economist,$43K-$76K (Glassdoor est.),"New York, NY"
167,Lead Data Insights Analyst,$43K-$76K (Glassdoor est.),"Brooklyn, NY"
168,Research Analyst (Data Science),$43K-$76K (Glassdoor est.),"New York, NY"
169,Data Management Analyst,$43K-$76K (Glassdoor est.),"Brooklyn, NY"
170,Business Analyst / Data Analyst,$43K-$76K (Glassdoor est.),"Weehawken, NJ"
171,Healthcare Data/Reporting Analyst,$43K-$76K (Glassdoor est.),"New York, NY"
172,Clinical Data Analyst,$43K-$76K (Glassdoor est.),"New York, NY"
173,Sr. Data Profiling Analyst,$43K-$76K (Glassdoor est.),"New York, NY"
174,"Data Analytics Analyst or Associate, Cowen Sustainable Investments",$43K-$76K (Glassdoor est.),"New York, NY"
175,Data Analyst,$43K-$76K (Glassdoor est.),"Haworth, NJ"
176,Data Analyst,$43K-$76K (Glassdoor est.),"Fort Lee, NJ"
177,"Sr. Data Analyst, Revenue Analytics, Peacock",$43K-$76K (Glassdoor est.),"New York, NY"
178,Senior Data Analyst,$43K-$76K (Glassdoor est.),"New York, NY"
179,Data Analyst,$43K-$76K (Glassdoor est.),"New York, NY"
180,Senior Data Analyst - Data Cataloging / Data Profiling,$43K-$76K (Glassdoor est.),"New York, NY"
181,Data/Report Analyst,$60K-$110K (Glassdoor est.),"New York, NY"
182,Senior Data Analyst,$60K-$110K (Glassdoor est.),"New York, NY"
183,Human Capital Data Analyst,$60K-$110K (Glassdoor est.),"New York, NY"
184,GIS Data analyst,$60K-$110K (Glassdoor est.),"New York, NY"
185,Junior Data Analytics Solutions Analyst,$60K-$110K (Glassdoor est.),"New York, NY"
186,Data Analyst,$60K-$110K (Glassdoor est.),"Jersey City, NJ"
187,Data Analyst w/Capital Markets,$60K-$110K (Glassdoor est.),"Jersey City, NJ"
188,"VP, Research Project Analyst/Data Management",$60K-$110K (Glassdoor est.),"New York, NY"
189,Food Data Analyst,$60K-$110K (Glassdoor est.),"New York, NY"
190,Data Management Analyst,$60K-$110K (Glassdoor est.),"New York, NY"
191,Data Governance Analyst,$60K-$110K (Glassdoor est.),"Weehawken, NJ"
192,"Data Analyst, Enterprise Analytics",$60K-$110K (Glassdoor est.),"New York, NY"
193,Data Analytics Solutions Analyst - Mid with Security Clearance,$60K-$110K (Glassdoor est.),"New York, NY"
194,Data Analyst Assistant,$60K-$110K (Glassdoor est.),"Newark, NJ"
195,Investment Management Summer Analyst Program - Office of COO: Data & Analytics,$60K-$110K (Glassdoor est.),"New York, NY"
196,Data Collection Analyst,$60K-$110K (Glassdoor est.),"New York, NY"
197,Data Collection Analyst,$60K-$110K (Glassdoor est.),"New York, NY"
198,Sr Business /Data Analyst- Reference data,$60K-$110K (Glassdoor est.),"Jersey City, NJ"
199,Data Analyst,$60K-$110K (Glassdoor est.),"South Plainfield, NJ"
200,SENIOR DATA ANALYST,$60K-$110K (Glassdoor est.),"New York, NY"
201,Senior Data Analyst / Scientist,$60K-$110K (Glassdoor est.),"New York, NY"
202,Senior Data Analyst - Regulatory Reporting,$60K-$110K (Glassdoor est.),"New York, NY"
203,Data Reporting Analyst,$60K-$110K (Glassdoor est.),"New York, NY"
204,Data Governance Analyst,$60K-$110K (Glassdoor est.),"New York, NY"
205,Data Analyst,$60K-$110K (Glassdoor est.),"New York, NY"
206,Senior Data Analyst (6-12 Month Contract-Remote),$60K-$110K (Glassdoor est.),"New York, NY"
207,"Principal Data Analyst, LATAM – Disney Streaming Services",$60K-$110K (Glassdoor est.),"New York, NY"
208,Data Analyst- Win 10 Migration- NYC,$60K-$110K (Glassdoor est.),"New York, NY"
209,Data Analyst (35 hours/week),$60K-$110K (Glassdoor est.),"New York, NY"
210,Tech Business/Data Analyst,$60K-$110K (Glassdoor est.),"New York, NY"
211,Data Analyst,$41K-$78K (Glassdoor est.),"New York, NY"
212,"Senior Data Analyst, Financial Services",$41K-$78K (Glassdoor est.),"New York, NY"
213,"Enterprise Data, Financial Data Analyst - Content Design Specialist Contractor",$41K-$78K (Glassdoor est.),"New York, NY"
214,Data Analyst,$41K-$78K (Glassdoor est.),"New York, NY"
215,Data Analyst,$41K-$78K (Glassdoor est.),"Bronx, NY"
216,Senior Data Analyst,$41K-$78K (Glassdoor est.),"New York, NY"
217,Data Remediation Analyst-EK020719A/JL,$41K-$78K (Glassdoor est.),"New York, NY"
218,Business Analyst - Chief Data Office,$41K-$78K (Glassdoor est.),"New York, NY"
219,"Senior Analyst, Data Instrumentation & Quality (Disney+)",$41K-$78K (Glassdoor est.),"New York, NY"
220,Sr. Data Analyst,$41K-$78K (Glassdoor est.),"New York, NY"
221,Big Data Programmer Analyst,$41K-$78K (Glassdoor est.),"Jersey City, NJ"
222,Lead Data Analyst,$41K-$78K (Glassdoor est.),"New York, NY"
223,Data Analyst,$41K-$78K (Glassdoor est.),"Little Ferry, NJ"
224,Data Governance Analyst,$41K-$78K (Glassdoor est.),"New York, NY"
225,Client Service Data Analyst,$41K-$78K (Glassdoor est.),"New York, NY"
226,Financial Data Analyst - Accounting - D3529,$41K-$78K (Glassdoor est.),"New York, NY"
227,Data / Business Analyst (SQL/Tableau),$41K-$78K (Glassdoor est.),"New York, NY"
228,"Data Processing & Performance Analyst New York, NY",$41K-$78K (Glassdoor est.),"New York, NY"
229,Data Analyst,$41K-$78K (Glassdoor est.),"Newark, NJ"
230,Senior Data Analyst,$41K-$78K (Glassdoor est.),"New York, NY"
231,Data Analyst-Junior Profiles also works-Only NY/NJ Candidates Please on w2 Only,$41K-$78K (Glassdoor est.),"Jersey City, NJ"
232,Business Analyst-Market Data,$41K-$78K (Glassdoor est.),"Jersey City, NJ"
233,Content Analyst/Data BA-Bus/Tech Strategy - Investment Bank,$41K-$78K (Glassdoor est.),"Jersey City, NJ"
234,Data Analyst,$41K-$78K (Glassdoor est.),"Lake Success, NY"
235,"Senior Analyst, AB Testing and Data Operations",$41K-$78K (Glassdoor est.),"New York, NY"
236,Data Warehouse Analyst,$41K-$78K (Glassdoor est.),"New York, NY"
237,Data Analyst I - Geriatrics and Palliative Care,$41K-$78K (Glassdoor est.),"New York, NY"
238,Data Analyst,$41K-$78K (Glassdoor est.),"Lake Success, NY"
239,Senior Business and Data Analyst,$41K-$78K (Glassdoor est.),"New York, NY"
240,Data Analyst II,$45K-$88K (Glassdoor est.),"Jersey City, NJ"
241,Data Analyst II,$45K-$88K (Glassdoor est.),"Lake Success, NY"
242,Data Analyst (35 hours/week),$45K-$88K (Glassdoor est.),"New York, NY"
243,Lead Generation Data Analyst,$45K-$88K (Glassdoor est.),"New York, NY"
244,"DnA Ambassador (Clinical Business Analyst - Level 1), Data & Analytics/Re-post",$45K-$88K (Glassdoor est.),"New York, NY"
245,Data Analyst I - Genetics & Genomic Sciences,$45K-$88K (Glassdoor est.),"New York, NY"
246,Data Reporting Analyst III,$45K-$88K (Glassdoor est.),"Newark, NJ"
247,Reporting Analyst Data Analyst,$45K-$88K (Glassdoor est.),"Lake Success, NY"
248,Data Analyst - CBCH,$45K-$88K (Glassdoor est.),"New York, NY"
249,"Principal Data Analyst, LATAM Disney Streaming Services",$45K-$88K (Glassdoor est.),"New York, NY"
250,Data Engineer/Data Analyst,$45K-$88K (Glassdoor est.),"New York, NY"
251,Technical Business/Data Analyst,$73K-$127K (Glassdoor est.),"New York, NY"
252,CRM Data Performance Analyst,$73K-$127K (Glassdoor est.),"New York, NY"
253,eCommerce Data Analyst,$73K-$127K (Glassdoor est.),"New York, NY"
254,Senior Data Analyst - Rochade,$73K-$127K (Glassdoor est.),"New York, NY"
255,Financial Data Analyst,$73K-$127K (Glassdoor est.),"New York, NY"
256,2021 Summer Analyst Program- Data & Analytics Solutions,$73K-$127K (Glassdoor est.),"New York, NY"
257,Data Analyst - QC,$73K-$127K (Glassdoor est.),"New York, NY"
258,People Operations & Data Analyst,$73K-$127K (Glassdoor est.),"New York, NY"
259,Lead Data Analyst (Product),$73K-$127K (Glassdoor est.),"New York, NY"
260,Data Analyst - III,$73K-$127K (Glassdoor est.),"New York, NY"
261,SQL Data Analyst,$73K-$127K (Glassdoor est.),"Summit, NJ"
262,Healthcare Data/Reporting Analyst,$73K-$127K (Glassdoor est.),"New York, NY"
263,Epic Data Intelligence Analyst,$73K-$127K (Glassdoor est.),"New York, NY"
264,"JPSC-8461 - Position: 13,52,53 Data Analyst",$73K-$127K (Glassdoor est.),"New York, NY"
265,Data Analyst - Analytics/SQL,$84K-$90K (Glassdoor est.),"New York, NY"
266,Data Analyst-Excel,$84K-$90K (Glassdoor est.),"New York, NY"
267,Data Remediation Analyst,$84K-$90K (Glassdoor est.),"New York, NY"
268,Data Analyst with Python or Python developer,$84K-$90K (Glassdoor est.),"New York, NY"
269,Data Entry Clerk / Data analyst,$84K-$90K (Glassdoor est.),"Haworth, NJ"
270,"Senior Analyst, Data and Insights (Wirecutter)",$84K-$90K (Glassdoor est.),"New York, NY"
271,ETL Developer / Data Analyst,$84K-$90K (Glassdoor est.),"New York, NY"
272,Big Data Programmer Analyst,$84K-$90K (Glassdoor est.),"Jersey City, NJ"
273,Data Governance Analyst,$84K-$90K (Glassdoor est.),"New York, NY"
274,Data Analyst with Python,$84K-$90K (Glassdoor est.),"New York, NY"
275,Data Analyst/Project Manager,$84K-$90K (Glassdoor est.),"Jersey City, NJ"
276,Data Analyst - Intex Developer,$84K-$90K (Glassdoor est.),"New York, NY"
277,Analyst Business Data,$84K-$90K (Glassdoor est.),"Manhasset, NY"
278,Sr. Datastage and Data Analyst,$84K-$90K (Glassdoor est.),"New York, NY"
279,Programmer Data Analyst,$84K-$90K (Glassdoor est.),"Valley Stream, NY"
280,Consumer Lending Data Analyst,$84K-$90K (Glassdoor est.),"New York, NY"
281,Encounter Data Analyst,$84K-$90K (Glassdoor est.),"Lake Success, NY"
282,Business Analyst/PM/Data Analyst - Investment Bank,$84K-$90K (Glassdoor est.),"Jersey City, NJ"
283,"Healthcare Analyst, Claims/Encounter Data",$27K-$52K (Glassdoor est.),"New York, NY"
284,Data Analyst,$27K-$52K (Glassdoor est.),"Fairfield, NJ"
285,TX Healthcare Data/Reporting Analyst,$27K-$52K (Glassdoor est.),"New York, NY"
286,Senior Data Analyst - Regulatory Reporting,$27K-$52K (Glassdoor est.),"New York, NY"
287,Senior Specialist Data Analyst,$27K-$52K (Glassdoor est.),"New York, NY"
288,SQL Report Developer Data Analyst,$27K-$52K (Glassdoor est.),"New York, NY"
289,Clinical Data Analyst,$27K-$52K (Glassdoor est.),"Brooklyn, NY"
290,"Data Analyst,, Sales Operations - Oracle Data Cloud",$27K-$52K (Glassdoor est.),"New York, NY"
291,Data Analyst - Machine Learning,$27K-$52K (Glassdoor est.),"New York, NY"
292,"Senior Analyst, Data Analytics",$27K-$52K (Glassdoor est.),"New York, NY"
293,Senior Data Analyst (Product),$27K-$52K (Glassdoor est.),"New York, NY"
294,Senior Data Analyst - Data Cataloging / Data Profiling,$27K-$52K (Glassdoor est.),"New York, NY"
295,2021 Summer Analyst Program- Data & Analytics Solutions,$27K-$52K (Glassdoor est.),"New York, NY"
296,Technical Data Analyst,$27K-$52K (Glassdoor est.),"Summit, NJ"
297,"Senior Analyst, Customer Master Data",$27K-$52K (Glassdoor est.),"Berkeley Heights, NJ"
298,Data Analyst/Project Manager,$27K-$52K (Glassdoor est.),"Jersey City, NJ"
299,Data Analyst II - Division of Endocrinology,$27K-$52K (Glassdoor est.),"New York, NY"
300,Sr. Reference Data Business Analyst - SQL,$27K-$52K (Glassdoor est.),"Jersey City, NJ"
301,Data Analyst - Actuarial Background,$27K-$52K (Glassdoor est.),"New York, NY"
302,Data Management Analyst (ADDM04) SEC SVCS OPS DATA GOVERNANCE - NA,$27K-$52K (Glassdoor est.),"Brooklyn, NY"
303,BA With Data Analyst Skills,$27K-$52K (Glassdoor est.),"Jersey City, NJ"
304,"Data & Reporting Analyst, GNHCC",$27K-$52K (Glassdoor est.),"Essex Fells, NJ"
305,Principal Business Analyst - Data Governance,$27K-$52K (Glassdoor est.),"New York, NY"
306,Business Analyst/Data Analyst - Capital Markets,$27K-$52K (Glassdoor est.),"Jersey City, NJ"
307,".net, sharepoint, Java, Data analyst, Business Analyst",$27K-$52K (Glassdoor est.),"New York, NY"
308,ETL Datastage Developer/IBM Infosphere Datastage Consultant(ETL Data Analyst)-Only NY/NJ candidates Please,$27K-$52K (Glassdoor est.),"New York, NY"
309,Consumer Lending Data Analyst,$27K-$52K (Glassdoor est.),"New York, NY"
310,Data Analyst - CBCH,$27K-$52K (Glassdoor est.),"New York, NY"
311,Solar Data Analyst,$27K-$52K (Glassdoor est.),"South Plainfield, NJ"
312,Data Science Lead Analyst,$27K-$52K (Glassdoor est.),"Franklin Lakes, NJ"
313,Clinical Data Analyst,$42K-$74K (Glassdoor est.),"Lake Success, NY"
314,"Remote: Data Analyst (Data Lineage, Financial industry)_Long term",$42K-$74K (Glassdoor est.),"New York, NY"
315,Senior Data Analyst,$42K-$74K (Glassdoor est.),"Brooklyn, NY"
316,Data Governance Analyst,$42K-$74K (Glassdoor est.),"New York, NY"
317,"Data Management, Firmwide Data Quality, Analyst",$42K-$74K (Glassdoor est.),"Newark, NJ"
318,Compensation and Data Analyst (Human Resources),$42K-$74K (Glassdoor est.),"New York, NY"
319,Senior Data Analyst,$42K-$74K (Glassdoor est.),"New York, NY"
320,"Data Analyst II, Division of Gastroenterology (Research)",$42K-$74K (Glassdoor est.),"New York, NY"
321,NY Healthcare Data/Reporting Analyst,$42K-$74K (Glassdoor est.),"New York, NY"
322,Data Analyst,$42K-$74K (Glassdoor est.),"Mount Vernon, NY"
323,Big Data QA Analyst / QA Tester / Test Analyst,$42K-$74K (Glassdoor est.),"Jersey City, NJ"
324,Senior Data Analyst,$42K-$74K (Glassdoor est.),"New York, NY"
325,Senior Supply Chain Data Analyst,$42K-$74K (Glassdoor est.),"New York, NY"
326,"Data Analyst, Capital Markets (Manager)",$42K-$74K (Glassdoor est.),"New York, NY"
327,"Analyst, People Operations & HR Data",$42K-$74K (Glassdoor est.),"New York, NY"
328,"Senior Analyst, Data Instrumentation & Quality (Disney+)",$42K-$74K (Glassdoor est.),"New York, NY"
329,CIB F&BM Global Program Management EMEA - International Regulatory - Data Provisioning Business Analyst - Associate,$42K-$74K (Glassdoor est.),"New York, NY"
330,Business Data Analyst (Financial Services),$42K-$74K (Glassdoor est.),"New York, NY"
331,Senior IT Technical Data Analyst,$42K-$74K (Glassdoor est.),"New York, NY"
332,Data Analyst/Data Acquisition Speciliest with Financial Industry Exp,$42K-$74K (Glassdoor est.),"New York, NY"
